device_id,hostname_y,datetime,Jam,Hari,type_x,severity,hardware,message,os
48,10.246.88.18,2026-06-07 08:27:59,8,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 08:27:59,8,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 08:27:59,8,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 08:58:54,8,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2611 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 09:03:03,9,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 09:03:03,9,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 09:03:03,9,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 09:03:03,9,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 09:03:03,9,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 09:03:03,9,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 09:03:03,9,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 09:08:53,9,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2681 rpm (< 2754.4 rpm),routeros
13,10.246.0.242,2026-06-07 09:09:04,9,Sunday,interface,3,,ifOperStatus: down -> up,zxa10
33,117.103.68.166,2026-06-07 09:23:37,9,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4305 rpm (< 5232 rpm),routeros
33,117.103.68.166,2026-06-07 09:23:37,9,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4065 rpm (< 4860 rpm),routeros
48,10.246.88.18,2026-06-07 09:33:09,9,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 09:33:09,9,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 09:33:09,9,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 09:33:09,9,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 09:33:09,9,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 09:33:09,9,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 09:33:09,9,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 09:49:01,9,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2504 rpm (< 2754.4 rpm),routeros
33,117.103.68.166,2026-06-07 09:58:41,9,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4290 rpm (< 5232 rpm),routeros
33,117.103.68.166,2026-06-07 09:58:41,9,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4050 rpm (< 4860 rpm),routeros
48,10.246.88.18,2026-06-07 10:03:14,10,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 10:03:14,10,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 10:03:14,10,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
